"OPERADORES";"ENE";"FEB";"MAR";"ABR";"MAY";"JUN";"JUL";"AGO";"SEP";"OCT";"NOV";"DIC"
"AEROVIAS D.A.P.";"8,619";"7,108";"3,754";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"AMASZONAS S.A.";"0";"0";"293";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CHILEJET S.A.";"327";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"LATAM AIRLINES GROUP";"419,161";"432,133";"354,211";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"LATAM AIRLINES CHILE";"500,727";"466,639";"417,187";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"LATIN AMERICAN WINGS";"1,129";"1,943";"2,156";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ONE SPA";"396";"0";"1,213";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"SKY AIRLINE";"313,659";"285,558";"275,044";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";""
